,RM,LSTAT,PTRATIO,MEDV,PRED_MEDV_LR,PRED_MEDV_RF
186,6.739,4.69,15.2,640500.0,652234.6204447057,619920.0
187,7.178,2.87,15.2,764400.0,715625.3572162387,720510.0
188,6.8,5.03,15.6,653100.0,647118.1133737918,645960.0
189,6.604,4.38,15.6,611100.0,633938.7674669281,634200.0
190,7.287000000000001,4.08,12.6,699300.0,764844.8832259793,693000.0
191,7.107,8.61,12.6,636300.0,699730.0710381116,692370.0
192,7.274,6.62,12.6,726600.0,737261.9748245454,716100.0
193,6.975,4.56,17.0,732900.0,642465.3787682825,719040.0
194,7.135,4.45,17.0,690900.0,659847.8072001825,700980.0
195,6.162000000000001,7.43,14.7,506100.0,575062.9607077523,495810.0
196,7.61,3.11,14.7,888300.0,766748.4797200449,919380.0
197,7.853,3.81,14.7,1018500.0,784182.8222464953,997080.0
198,5.891,10.87,18.6,474600.0,435983.57174232206,452550.0
199,6.3260000000000005,10.97,18.6,512400.0,479115.83741616475,478800.0
200,5.7829999999999995,18.06,18.6,472500.0,350675.2648180827,463680.0
201,6.064,14.66,18.6,512400.0,414360.83561094577,453810.0
202,5.343999999999999,23.09,18.6,420000.0,254093.88919302193,389130.0
203,5.96,17.27,18.6,455700.0,376814.7690524289,450660.0
204,5.404,23.98,18.6,405300.0,250983.3956704524,395640.0
205,5.807,16.03,18.6,470400.0,374101.74164722214,473340.0
206,6.375,9.38,18.6,590100.0,500531.10834484553,583590.0
207,5.412000000000001,29.55,18.6,497700.0,194203.16913944838,448350.0
208,6.182,9.47,18.6,525000.0,480004.9326769225,506310.0
209,5.888,13.51,16.4,489300.0,451251.2839448566,471240.0
210,6.642,9.69,16.4,602700.0,567303.9975578415,551880.0
211,5.9510000000000005,17.92,16.4,451500.0,412049.4198472692,452340.0
212,6.372999999999999,10.5,16.4,483000.0,531616.7917198304,479640.0
213,6.9510000000000005,9.71,17.4,560700.0,578984.427020503,623070.0
214,6.164,21.46,17.4,455700.0,377586.85125387955,392280.0
215,6.879,9.93,17.4,577500.0,569399.4046546443,547890.0
216,6.617999999999999,7.6,17.4,632100.0,566991.3069941107,588630.0
217,8.266,4.14,17.4,940800.0,770090.9480707659,962850.0
218,8.04,3.13,17.4,789600.0,757587.9690801558,917700.0
219,7.162999999999999,6.36,17.4,663600.0,635147.3299097222,673050.0
220,7.686,3.92,17.4,980700.0,713477.3732888114,940590.0
221,6.5520000000000005,3.76,17.4,661500.0,599994.911476396,673260.0
222,5.981,11.65,17.4,510300.0,460439.6440320486,484260.0
223,7.412000000000001,5.25,17.4,665700.0,671905.8327981989,667590.0
224,8.337,2.47,17.4,875700.0,794567.0950258494,921270.0
225,8.247,3.95,17.4,1014300.0,770126.4027948501,984900.0
226,6.726,8.05,17.4,609000.0,573303.8254943776,578760.0
227,6.086,10.88,17.4,504000.0,479062.0784770802,481110.0
228,6.631,9.54,17.4,527100.0,548252.0776809637,537390.0
229,7.358,4.73,17.4,661500.0,671799.8035984675,678090.0
230,6.481,6.36,16.6,497700.0,581491.6144894984,501900.0
231,6.606,7.37,16.6,489300.0,583739.9028176405,524370.0
232,6.897,11.38,16.6,462000.0,571823.1465567317,490980.0
233,6.095,12.4,16.6,422100.0,479848.25266091945,438060.0
234,6.358,11.22,16.6,466200.0,518751.9812212315,475020.0
235,6.393,5.19,16.6,497700.0,584654.3570791391,533400.0
236,5.593,12.5,19.1,369600.0,379130.32580397726,370440.0
237,5.605,18.46,19.1,388500.0,318723.71811158274,394170.0
238,6.108,9.16,19.1,510300.0,465953.9030517733,469560.0
239,6.226,10.15,19.1,430500.0,467698.26550254726,442680.0
240,6.433,9.52,19.1,514500.0,495229.35539718356,525630.0
241,6.718,6.56,19.1,550200.0,554771.5568845203,551250.0
242,6.487,5.9,19.1,512400.0,538142.0029313712,549570.0
243,6.438,3.59,19.1,520800.0,557051.8072452942,536130.0
244,6.957000000000001,3.53,19.1,621600.0,610367.0886006423,718410.0
245,8.259,3.54,19.1,898800.0,742457.8220860064,874020.0
246,6.108,6.57,16.4,459900.0,545346.1883087768,483210.0
247,5.876,9.25,16.4,438900.0,494080.2947366292,452970.0
248,7.454,3.11,15.9,924000.0,727526.3073944423,884730.0
249,7.332999999999999,7.79,13.0,756000.0,723360.40137954,698460.0
250,6.8420000000000005,6.9,13.0,632100.0,682710.779302865,598500.0
251,7.202999999999999,9.59,13.0,709800.0,691549.7213973703,710640.0
252,7.52,7.26,13.0,905100.0,747826.8831715544,883470.0
253,8.398,5.91,13.0,1024800.0,850930.2997131941,1005900.0
254,7.327000000000001,11.25,13.0,651000.0,686975.6322610276,649740.0
255,7.206,8.1,13.0,766500.0,707260.562864774,738360.0
256,5.56,10.45,13.0,478800.0,515841.1217693717,495180.0
257,7.013999999999999,14.79,13.0,644700.0,618593.4837616236,597660.0
258,7.47,3.16,13.0,913500.0,785143.3314548266,860160.0
259,5.92,13.65,18.6,434700.0,410183.4470591711,496230.0
260,5.856,13.0,18.6,443100.0,410406.27112701815,437850.0
261,6.24,6.59,18.6,529200.0,515672.2820407681,531510.0
262,6.537999999999999,7.73,18.6,512400.0,534141.3663882848,512820.0
263,7.691,6.58,18.6,739200.0,663098.0178006948,777840.0
264,6.757999999999999,3.53,17.6,680400.0,619391.3572649484,631470.0
265,6.854,2.98,17.6,672000.0,634825.2595593245,659400.0
266,7.267,6.05,17.6,697200.0,645014.7344757069,716310.0
267,6.8260000000000005,4.16,17.6,695100.0,619781.454817626,668850.0
268,6.482,7.19,17.6,611100.0,553525.1060761662,576870.0
269,6.812,4.85,14.9,737100.0,663837.8755492663,649530.0
270,7.82,3.76,14.9,953400.0,777452.0605346749,991830.0
271,6.968,4.59,14.9,743400.0,682365.1420507042,702450.0
272,7.645,3.01,14.9,966000.0,767438.8543211508,952980.0
273,7.087999999999999,7.85,15.3,676200.0,653046.8912145838,668010.0
274,6.452999999999999,8.23,15.3,462000.0,584645.221213535,487620.0
275,6.23,12.93,18.2,422100.0,456897.28418171254,427140.0
276,6.209,7.14,16.6,487200.0,545810.0067658164,507780.0
277,6.315,7.6,16.6,468300.0,551816.0644558213,479010.0
278,6.565,9.51,16.6,520800.0,557450.0150292043,489090.0
279,6.861000000000001,3.33,19.2,598500.0,600739.4047871664,642390.0
280,7.148,3.56,19.2,783300.0,627500.8258600648,760410.0
281,6.63,4.7,19.2,585900.0,563120.1321820978,569100.0
282,6.127000000000001,8.58,16.0,501900.0,534286.7798627018,478170.0
283,6.0089999999999995,10.4,16.0,455700.0,503487.68371148774,481110.0
284,6.678,6.27,16.0,600600.0,614115.5386071275,571620.0
285,6.5489999999999995,7.39,16.0,569100.0,589437.4289759242,537600.0
286,5.79,15.84,16.0,426300.0,425003.9552623635,430500.0
287,6.345,4.97,14.8,472500.0,617130.4548194048,488670.0
288,7.041,4.74,14.8,609000.0,690174.5874218135,681240.0
289,6.871,6.07,14.8,520800.0,659162.3323658216,542850.0
290,6.59,9.5,16.1,462000.0,569834.7208316657,484470.0
291,6.495,8.67,16.1,554400.0,568771.2229061595,529620.0
292,6.982,4.86,16.1,695100.0,657611.6041687434,723870.0
293,7.236000000000001,6.93,18.4,758100.0,617179.4343775571,746760.0
294,6.6160000000000005,8.93,18.4,596400.0,533550.3223672665,522060.0
295,7.42,6.47,18.4,701400.0,640617.5379956288,705810.0
296,6.849,7.53,18.4,592200.0,571682.8510402516,557970.0
297,6.635,4.54,18.4,478800.0,580870.9816460349,548520.0
298,5.972,9.97,18.4,426300.0,457410.6245471657,415590.0
299,4.973,12.64,18.4,338100.0,328373.3985235189,355740.0
300,6.122000000000001,5.98,18.4,464100.0,513896.01705683983,495180.0
301,6.023,11.72,18.4,407400.0,444494.1506290003,414540.0
302,6.266,7.9,18.4,453600.0,508664.22138534015,471240.0
303,6.567,9.28,18.4,499800.0,524956.3574131571,509670.0
304,5.705,11.5,18.4,340200.0,414481.852615032,359730.0
305,5.914,18.33,18.4,373800.0,365081.37458602036,393750.0
306,5.782,15.94,18.4,415800.0,376391.23790100793,445410.0
307,6.382000000000001,10.36,18.4,485100.0,495006.0692170823,478380.0
308,6.1129999999999995,12.73,18.4,441000.0,443188.8332820296,448140.0
309,6.426,7.2,19.6,499800.0,508763.86574437225,502320.0
310,6.376,6.87,19.6,485100.0,507099.4079597943,503370.0
311,6.041,7.7,19.6,428400.0,464504.3218767735,438060.0
312,5.707999999999999,11.74,19.6,388500.0,388921.6601216599,389340.0
313,6.415,6.12,19.6,525000.0,518813.9621598162,493500.0
314,6.431,5.08,19.6,516600.0,531191.8210093238,511560.0
315,6.312,6.15,19.6,483000.0,508046.0154294316,486360.0
316,6.082999999999999,12.79,19.6,466200.0,416139.25561386946,429240.0
317,5.867999999999999,9.97,16.9,405300.0,476080.3943296347,432180.0
318,6.332999999999999,7.34,16.9,474600.0,550486.1603948253,471660.0
319,6.144,9.09,16.9,415800.0,513202.10470445885,418740.0
320,5.706,12.43,16.9,359100.0,434196.4599419107,371280.0
321,6.031000000000001,7.83,16.9,407400.0,514757.1361856067,421890.0
322,6.316,5.68,20.2,466200.0,501620.2082603436,479640.0
323,6.31,6.75,20.2,434700.0,489947.47243152926,487410.0
324,6.037000000000001,8.01,20.2,443100.0,449201.2469334248,438480.0
325,5.869,9.8,20.2,409500.0,413635.7641328171,420630.0
326,5.895,10.56,20.2,388500.0,408417.36570060585,416850.0
327,6.059,8.51,20.2,432600.0,446265.0604878504,445620.0
328,5.985,9.74,20.2,399000.0,426033.8144290109,406560.0
329,5.968,9.29,20.2,392700.0,428960.67068403674,395220.0
330,7.2410000000000005,5.49,15.5,686700.0,689085.8576353001,684600.0
331,6.54,8.65,15.9,346500.0,577444.1471083802,526260.0
332,6.696000000000001,7.18,17.6,501900.0,575356.2641185393,530460.0
333,6.874,4.61,17.6,655200.0,620002.0778748427,635250.0
334,6.013999999999999,10.53,18.8,367500.0,448090.26941842085,394590.0
335,5.898,12.67,18.8,361200.0,414185.5123261719,413700.0
336,6.516,6.36,17.9,485100.0,559713.3723098,496440.0
337,6.635,5.99,17.0,514500.0,593158.7770020429,543690.0
338,6.939,5.89,19.7,558600.0,572446.0574776747,524790.0
339,6.49,5.98,19.7,480900.0,525927.7945860703,509880.0
340,6.579,5.49,18.3,506100.0,567311.0415084109,577500.0
341,5.8839999999999995,7.79,18.3,390600.0,472965.1313294916,452550.0
342,6.728,4.5,17.0,632100.0,618007.461634022,600390.0
343,5.662999999999999,8.05,22.0,382200.0,375739.97522926144,401310.0
344,5.936,5.57,22.0,432600.0,429100.7114442831,435330.0
345,6.212000000000001,17.6,20.2,373800.0,367810.9492637139,317100.0
346,6.395,13.27,20.2,455700.0,431162.40364719,417900.0
347,6.127000000000001,11.48,20.2,476700.0,422460.1128949656,468090.0
348,6.112,12.67,20.2,474600.0,408632.8212037676,474600.0
349,6.398,7.79,20.2,525000.0,488128.89901664207,511980.0
350,6.251,14.19,20.2,417900.0,407029.272731768,421260.0
351,5.362,10.19,20.2,436800.0,358126.74011478183,418950.0
352,5.803,14.64,20.2,352800.0,356890.2267931024,355950.0
353,3.5610000000000004,7.12,20.2,577500.0,207011.4172825027,441630.0
354,4.963,14.0,20.2,459900.0,278221.1388353384,438900.0
355,3.863,13.33,20.2,485100.0,173464.03017750476,408450.0
356,4.906000000000001,34.77,20.2,289800.0,57676.96309036919,305970.0
357,4.138,37.97,20.2,289800.0,-53386.53980537498,336840.0
358,7.313,13.44,20.2,315000.0,522610.6442357973,360360.0
359,6.649,23.24,20.2,291900.0,353863.99174872896,260190.0
360,6.794,21.24,20.2,279300.0,389265.5981682049,201600.0
361,6.38,23.69,20.2,275100.0,321899.1005484966,248850.0
362,6.223,21.78,20.2,214200.0,325707.5879118414,204750.0
363,6.968,17.21,20.2,218400.0,448601.3393704079,387240.0
364,6.545,21.08,20.2,228900.0,365638.5941407812,231000.0
365,5.5360000000000005,23.6,20.2,237300.0,237137.01664236723,250530.0
366,5.52,24.56,20.2,258300.0,225586.33882347698,244440.0
367,4.368,30.63,20.2,184800.0,45859.58561880782,181650.0
368,5.277,30.81,20.2,151200.0,136290.64426213028,158760.0
369,4.652,28.28,20.2,220500.0,98993.0001569686,187530.0
370,5.0,31.99,20.2,155400.0,95965.47343177319,157500.0
371,4.88,30.62,20.2,214200.0,97947.15769499744,153720.0
372,5.39,20.85,20.2,241500.0,250747.75232508848,256200.0
373,5.712999999999999,17.11,20.2,317100.0,322213.1693082112,270060.0
374,6.051,18.76,20.2,487200.0,339470.23821424175,319410.0
375,5.0360000000000005,25.68,20.2,203700.0,164864.5144875596,259560.0
376,6.193,15.17,20.2,289800.0,391007.4728450882,281820.0
377,5.8870000000000005,16.35,20.2,266700.0,347737.8858839235,280560.0
378,6.471,17.12,20.2,275100.0,399070.71744325274,294840.0
379,6.405,19.37,20.2,262500.0,369105.16596977983,271740.0
380,5.747000000000001,19.92,20.2,178500.0,296610.5096921664,260190.0
381,5.452999999999999,30.59,20.2,105000.0,156434.95206260926,144900.0
382,5.852,29.97,20.2,132300.0,203356.70974617952,128730.0
383,5.987,26.77,20.2,117600.0,250150.7157177431,141960.0
384,6.343,20.32,20.2,151200.0,352987.4326067116,200130.0
385,6.404,20.31,20.2,254100.0,359284.25726930663,243180.0
386,5.349,19.77,20.2,174300.0,257751.90101900726,335370.0
387,5.531000000000001,27.38,20.2,178500.0,197545.05499210238,175140.0
388,5.683,22.98,20.2,105000.0,258472.8134651262,152250.0
389,4.138,23.34,20.2,249900.0,97884.19116880241,250530.0
390,5.608,12.13,20.2,585900.0,363044.37143881334,388500.0
391,5.617000000000001,26.4,20.2,361200.0,216409.73941887234,303450.0
392,6.852,19.78,20.2,577500.0,410250.4842385899,493290.0
393,5.757000000000001,10.11,20.2,315000.0,399058.89947881375,349650.0
394,6.657,21.22,20.2,361200.0,375562.5654975612,238770.0
395,4.628,34.37,20.2,375900.0,33587.08602399047,336840.0
396,5.155,20.08,20.2,342300.0,234849.44592616847,308490.0
397,4.519,36.98,20.2,147000.0,-4466.638488113938,336840.0
398,6.434,29.05,20.2,151200.0,271960.67739586864,152460.0
399,6.782,25.79,20.2,157500.0,341001.29796322394,207270.0
400,5.303999999999999,26.64,20.2,218400.0,182148.80843244068,201180.0
401,5.957000000000001,20.62,20.2,184800.0,310694.30972493923,236040.0
402,6.824,22.74,20.2,176400.0,376801.90156565176,187320.0
403,6.4110000000000005,15.02,20.2,350700.0,414692.32405391213,339780.0
404,6.006,15.7,20.2,298200.0,366540.9910530738,314580.0
405,5.648,14.1,20.2,436800.0,346736.3021885573,394590.0
406,6.103,23.29,20.2,281400.0,297910.75507283537,255990.0
407,5.565,17.16,20.2,245700.0,306669.50573788467,260610.0
408,5.896,24.39,20.2,174300.0,265519.97662332107,187320.0
409,5.837000000000001,15.69,20.2,214200.0,349485.54985064274,316050.0
410,6.202000000000001,14.52,20.2,228900.0,398642.1030353132,337890.0
411,6.193,21.52,20.2,231000.0,325349.9785398232,204750.0
412,6.38,24.08,20.2,199500.0,317866.59302423627,204750.0
413,6.348,17.64,20.2,304500.0,381205.6550859857,304500.0
414,6.832999999999999,19.69,20.2,296100.0,409251.9626744018,349020.0
415,6.425,12.03,20.2,338100.0,447029.65734328673,449610.0
416,6.436,16.22,20.2,300300.0,404822.8983625871,307650.0
417,6.207999999999999,15.17,20.2,245700.0,392530.4467058508,281820.0
418,6.629,23.27,20.2,281400.0,351523.16704789724,260190.0
419,6.461,18.05,20.2,201600.0,388439.4220551491,299460.0
